epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.007,1.74944,1.30964,1.31259,0.81551,0.79898,0.85548,0.54497,1.58464,0.78917,1.17876,0.00598701,0.00199567,0.00598701,0.00199567,0.00598701,0.00199567,0.00598701,0.00199567
2,326.935,1.60014,0.9014,1.17999,0.78148,0.76584,0.82522,0.53845,1.50383,0.88175,1.1426,0.0119752,0.00399175,0.0119752,0.00399175,0.0119752,0.00399175,0.0119752,0.00399175
3,455.712,1.6229,0.91673,1.19091,0.78866,0.77885,0.84165,0.52524,1.65162,0.88122,1.21092,0.0179165,0.00597215,0.0179165,0.00597215,0.0179165,0.00597215,0.0179165,0.00597215
4,562.684,1.64242,0.9319,1.20635,0.80407,0.76648,0.83563,0.5386,1.5992,0.89517,1.21985,0.0237756,0.00792521,0.0237756,0.00792521,0.0237756,0.00792521,0.0237756,0.00792521
5,669.681,1.68148,0.98807,1.22969,0.75908,0.70885,0.76647,0.49221,1.61869,1.03905,1.25219,0.0295183,0.00983944,0.0295183,0.00983944,0.0295183,0.00983944,0.0295183,0.00983944
6,776.069,1.69178,0.99363,1.24725,0.82659,0.8041,0.86802,0.56215,1.5703,0.79576,1.212,0.0292695,0.00975651,0.0292695,0.00975651,0.0292695,0.00975651,0.0292695,0.00975651
7,882.546,1.64284,0.93284,1.22514,0.8356,0.80548,0.87126,0.58921,1.46174,0.75766,1.17555,0.0289519,0.00965064,0.0289519,0.00965064,0.0289519,0.00965064,0.0289519,0.00965064
8,988.875,1.60766,0.88059,1.20605,0.84369,0.8171,0.87945,0.58625,1.51035,0.72926,1.18603,0.0285795,0.00952651,0.0285795,0.00952651,0.0285795,0.00952651,0.0285795,0.00952651
9,1095.4,1.56685,0.83599,1.19,0.83859,0.82266,0.88763,0.61066,1.44543,0.68482,1.16215,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463
10,1202.24,1.55475,0.81201,1.18244,0.86469,0.83842,0.90471,0.62041,1.43915,0.64546,1.13988,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553
11,1309.29,1.53283,0.79641,1.1737,0.87113,0.84615,0.9116,0.63518,1.40663,0.62676,1.12691,0.0271496,0.00904986,0.0271496,0.00904986,0.0271496,0.00904986,0.0271496,0.00904986
12,1416.08,1.51381,0.7729,1.16514,0.8757,0.85076,0.92104,0.64678,1.38915,0.60478,1.12345,0.0265749,0.0088583,0.0265749,0.0088583,0.0265749,0.0088583,0.0265749,0.0088583
13,1522.66,1.5008,0.76049,1.15971,0.879,0.85127,0.92009,0.64951,1.36614,0.59012,1.11991,0.0259549,0.00865162,0.0259549,0.00865162,0.0259549,0.00865162,0.0259549,0.00865162
14,1629.36,1.48623,0.73743,1.15068,0.87728,0.86058,0.92022,0.64659,1.38408,0.58473,1.11374,0.0252919,0.00843062,0.0252919,0.00843062,0.0252919,0.00843062,0.0252919,0.00843062
15,1735.81,1.4731,0.73273,1.1474,0.87097,0.8578,0.92236,0.65951,1.32309,0.57949,1.09449,0.0245886,0.00819618,0.0245886,0.00819618,0.0245886,0.00819618,0.0245886,0.00819618
16,1842.84,1.45836,0.70757,1.14008,0.88259,0.86998,0.93091,0.66962,1.31378,0.55769,1.09419,0.0238477,0.00794923,0.0238477,0.00794923,0.0238477,0.00794923,0.0238477,0.00794923
17,1949.18,1.44924,0.7001,1.13304,0.87699,0.87663,0.93155,0.66871,1.32662,0.54922,1.0977,0.0230722,0.00769074,0.0230722,0.00769074,0.0230722,0.00769074,0.0230722,0.00769074
18,2055.17,1.43584,0.68687,1.13036,0.88374,0.87591,0.93587,0.67904,1.29476,0.53205,1.08216,0.0222652,0.00742172,0.0222652,0.00742172,0.0222652,0.00742172,0.0222652,0.00742172
19,2161.23,1.41494,0.66956,1.12371,0.8846,0.87747,0.93347,0.67365,1.29975,0.53015,1.07667,0.0214298,0.00714325,0.0214298,0.00714325,0.0214298,0.00714325,0.0214298,0.00714325
20,2267.24,1.41618,0.66705,1.12035,0.89074,0.88236,0.93752,0.67498,1.327,0.5307,1.08659,0.0205693,0.00685642,0.0205693,0.00685642,0.0205693,0.00685642,0.0205693,0.00685642
21,2379.33,1.34475,0.59167,1.09549,0.88658,0.87338,0.93473,0.66777,1.34512,0.53612,1.09699,0.0196871,0.00656236,0.0196871,0.00656236,0.0196871,0.00656236,0.0196871,0.00656236
22,2485.33,1.3267,0.56813,1.08671,0.89379,0.88005,0.94245,0.68318,1.29249,0.52212,1.07166,0.0187867,0.00626223,0.0187867,0.00626223,0.0187867,0.00626223,0.0187867,0.00626223
23,2591.49,1.30925,0.56215,1.07877,0.89969,0.88214,0.94428,0.68402,1.30493,0.50877,1.07563,0.0178717,0.00595722,0.0178717,0.00595722,0.0178717,0.00595722,0.0178717,0.00595722
24,2697.93,1.30313,0.54988,1.0812,0.90366,0.88028,0.94358,0.6891,1.27181,0.50596,1.06988,0.0169456,0.00564853,0.0169456,0.00564853,0.0169456,0.00564853,0.0169456,0.00564853
25,2803.98,1.28459,0.53787,1.06943,0.90459,0.89039,0.94849,0.69734,1.26886,0.49018,1.06234,0.0160121,0.00533738,0.0160121,0.00533738,0.0160121,0.00533738,0.0160121,0.00533738
26,2910.71,1.27017,0.52598,1.06296,0.91299,0.88602,0.95077,0.70078,1.25242,0.48021,1.05751,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025
27,3018.04,1.2586,0.51799,1.05972,0.90498,0.89828,0.94867,0.69952,1.25355,0.47741,1.05715,0.0141379,0.00471262,0.0141379,0.00471262,0.0141379,0.00471262,0.0141379,0.00471262
28,3124.96,1.24292,0.50473,1.0563,0.90876,0.89669,0.95179,0.70774,1.23062,0.46756,1.04767,0.0132044,0.00440147,0.0132044,0.00440147,0.0132044,0.00440147,0.0132044,0.00440147
29,3231.58,1.22435,0.49093,1.04459,0.912,0.89789,0.95403,0.71174,1.21438,0.45886,1.04066,0.0122783,0.00409278,0.0122783,0.00409278,0.0122783,0.00409278,0.0122783,0.00409278
30,3338.43,1.21236,0.48148,1.03979,0.91631,0.90206,0.95339,0.71447,1.20802,0.45446,1.03777,0.0113633,0.00378777,0.0113633,0.00378777,0.0113633,0.00378777,0.0113633,0.00378777
31,3444.77,1.19997,0.47508,1.03904,0.91363,0.90347,0.95592,0.71478,1.2152,0.45151,1.04414,0.0104629,0.00348764,0.0104629,0.00348764,0.0104629,0.00348764,0.0104629,0.00348764
32,3551.12,1.1905,0.46426,1.03209,0.90827,0.90822,0.95533,0.72015,1.19385,0.45084,1.03571,0.00958074,0.00319358,0.00958074,0.00319358,0.00958074,0.00319358,0.00958074,0.00319358
33,3657.45,1.17134,0.453,1.02656,0.91426,0.90754,0.95628,0.72022,1.19226,0.44249,1.03442,0.00872024,0.00290675,0.00872024,0.00290675,0.00872024,0.00290675,0.00872024,0.00290675
34,3763.22,1.15984,0.44525,1.02261,0.91862,0.90846,0.9593,0.72244,1.19906,0.43823,1.03826,0.00788483,0.00262828,0.00788483,0.00262828,0.00788483,0.00262828,0.00788483,0.00262828
35,3869.71,1.14639,0.43425,1.01834,0.91977,0.90714,0.95922,0.72519,1.18587,0.43414,1.02929,0.00707779,0.00235926,0.00707779,0.00235926,0.00707779,0.00235926,0.00707779,0.00235926
36,3975.82,1.13661,0.43164,1.01096,0.92431,0.90781,0.9584,0.72827,1.16917,0.43156,1.02452,0.00630231,0.00210077,0.00630231,0.00210077,0.00630231,0.00210077,0.00630231,0.00210077
37,4081.8,1.12587,0.42067,1.01074,0.92737,0.90497,0.96015,0.73236,1.16184,0.42536,1.02119,0.00556145,0.00185382,0.00556145,0.00185382,0.00556145,0.00185382,0.00556145,0.00185382
38,4188.62,1.11284,0.41267,1.00369,0.92835,0.90585,0.95857,0.73431,1.14415,0.42548,1.01818,0.00485813,0.00161938,0.00485813,0.00161938,0.00485813,0.00161938,0.00485813,0.00161938
39,4294.87,1.1007,0.40458,0.99822,0.92038,0.91198,0.95882,0.73332,1.14801,0.42244,1.01667,0.00419514,0.00139838,0.00419514,0.00139838,0.00419514,0.00139838,0.00419514,0.00139838
40,4400.96,1.08833,0.39627,0.99642,0.92424,0.91122,0.95927,0.73521,1.14527,0.42044,1.01641,0.00357509,0.0011917,0.00357509,0.0011917,0.00357509,0.0011917,0.00357509,0.0011917
41,4507.61,1.07732,0.38728,0.99109,0.92123,0.91538,0.95932,0.73596,1.13836,0.41707,1.01359,0.00300042,0.00100014,0.00300042,0.00100014,0.00300042,0.00100014,0.00300042,0.00100014
42,4613.76,1.06984,0.38561,0.99046,0.92087,0.91739,0.95989,0.73645,1.13384,0.41508,1.01346,0.00247341,0.000824469,0.00247341,0.000824469,0.00247341,0.000824469,0.00247341,0.000824469
43,4720.27,1.05813,0.37934,0.98715,0.92185,0.91898,0.96104,0.73931,1.12817,0.41154,1.01208,0.00199612,0.000665374,0.00199612,0.000665374,0.00199612,0.000665374,0.00199612,0.000665374
44,4826.58,1.0518,0.37475,0.98293,0.92609,0.91468,0.96116,0.74046,1.12427,0.41029,1.00908,0.00157046,0.000523485,0.00157046,0.000523485,0.00157046,0.000523485,0.00157046,0.000523485
45,4932.84,1.04546,0.37107,0.98087,0.92287,0.91908,0.96122,0.74055,1.12416,0.41048,1.00841,0.00119809,0.000399362,0.00119809,0.000399362,0.00119809,0.000399362,0.00119809,0.000399362
46,5038.9,1.04192,0.36962,0.98012,0.91872,0.92425,0.96131,0.74194,1.11906,0.40983,1.00686,0.000880481,0.000293494,0.000880481,0.000293494,0.000880481,0.000293494,0.000880481,0.000293494
47,5145.29,1.03402,0.36511,0.97904,0.91779,0.92608,0.96136,0.74222,1.11639,0.40894,1.00645,0.000618896,0.000206299,0.000618896,0.000206299,0.000618896,0.000206299,0.000618896,0.000206299
48,5251.12,1.03197,0.36326,0.97645,0.92075,0.9226,0.96116,0.74212,1.11575,0.40881,1.00616,0.000414363,0.000138121,0.000414363,0.000138121,0.000414363,0.000138121,0.000414363,0.000138121
49,5357.27,1.02536,0.36184,0.97443,0.92187,0.92252,0.96101,0.74283,1.11339,0.40866,1.00543,0.000267688,8.92294e-05,0.000267688,8.92294e-05,0.000267688,8.92294e-05,0.000267688,8.92294e-05
50,5463.66,1.0265,0.35982,0.97543,0.92391,0.92086,0.96113,0.74306,1.1124,0.40877,1.00519,0.000179451,5.9817e-05,0.000179451,5.9817e-05,0.000179451,5.9817e-05,0.000179451,5.9817e-05
